# TYPE slurm_summary_stopped_jobs untyped
slurm_summary_power_down_nodes{host="harding-adm"} 0 1745913301000
# TYPE slurm_summary_node_fail_jobs untyped
slurm_summary_node_fail_jobs{host="harding-adm"} 0 1745913301000
# TYPE slurm_summary_out_of_memory_jobs untyped
slurm_summary_out_of_memory_jobs{host="harding-adm"} 0 1745913301000
# TYPE slurm_summary_suspended_jobs untyped
slurm_summary_suspended_jobs{host="harding-adm"} 0 1745913301000
# TYPE slurm_summary_total_partitions untyped
slurm_summary_total_partitions{host="harding-adm"} 16 1745913301000
# TYPE slurm_summary_configuring_jobs untyped
slurm_summary_configuring_jobs{host="harding-adm"} 0 1745913301000
# TYPE slurm_summary_completed_jobs untyped
